state,lga,facilityname,datimcode
OYO,IBADAN SOUTH WEST,Ring Road State Hospital,oCR09FpTFh9
OYO,IBADAN SOUTH WEST,St. Anne's Anglican Hospital-Molete Ibadan,ZQYdcyj8Urc
OYO,Ibarapa Central,Olugbon Medical Centre-Igboora,wYu6410ctAh
OYO,IBARAPA EAST,General Hospital Eruwa,SK1svp0M4SP
OYO,IDO,Apete Primary Health Center,uU3mfYyerBo
OYO,IREPO,Kisi General Hospital,l7D0Lku4ECe
OYO,ISEYIN,Iseyin General Hospital,o9zWHFjhquv
OYO,ISEYIN,Our Lady's Catholic Hospital-Iseyin,Inr4R6Tk5fE
OYO,Kajola,Okeho General Hospital,L0SpXvHcxlr
OYO,OGBOMOSO NORTH,Abogunde Baaki Health Center,POQZq9yYHfm
Oyo,OGBOMOSO NORTH,"Bowen University Teaching Hospital (BUTH), Ogbomosho",lfO3s7vhaJb
OYO,OGBOMOSO SOUTH,Ogbomosho State Hospital,fjiKMWnNBwn
OYO,OLORUNSOGO,Igbeti General Hospital,ty9jMW3us5b
OYO,OLUYOLE,Adaramagbo Olomi Primary Health Center,gp5xo74SqKO
OYO,OLUYOLE,"Lad Medical Centre, Ibadan",iecxi9sRFhf
OYO,Oorelope,Igboho General Hospital,oXanQ9NfzcJ
OYO,ORIRE,Ikoyi-Ile Primary Health Center,jN3f776qJBx
OYO,OYO EAST,oy State Hospital-Oyo,appJzgMDcmf
OYO,OYO EAST,Shekina Medical Centre-Oyo,sSruFErLzP3
OYO,SAKI WEST,Baptist Medical Center-Saki,x6uBaUpHFXY
OYO,SAKI WEST,"oy State Hospital, Saki",cNbVnYusOlF
PLATEAU,BARKIN LADI,Barkin Ladi General Hospital,HbuBf1D4gmG
PLATEAU,BASSA,Bassa Cottage Hospital,X3znG2aFpsf
PLATEAU,BASSA,Seventh Day Adventist (SDA) Hospital-Jengre,Le18r1aY7bi
PLATEAU,BOKKOS,Bokkos Cottage Hospital,Y67HDCTta2a
PLATEAU,JOS EAST,Angware General Hospital,Ci4IlJo0THV
PLATEAU,JOS NORTH,Bingham University Teaching Hospital,VyC5Ah2sxMg
PLATEAU,JOS NORTH,Faith Alive Foundation,CvVzWAc0dLb
PLATEAU,JOS NORTH,Hwolshe Medical Center,WnFVJtk3Ydm
PLATEAU,JOS NORTH,Jos University Teaching Hospital,dtgqizrS1Me
PLATEAU,JOS NORTH,Our Lady of Apostle (OLA) Hospital-Jos,gIwyL7hTdGY
PLATEAU,JOS NORTH,Plateau State Specialist Hospital,ugfwVdwIuIj
PLATEAU,JOS NORTH,Solat Women Hospital,OdFD1NyelFa
PLATEAU,JOS NORTH,Tundun Wada Primary Health Center,cdyDfwVgnJF
PLATEAU,JOS SOUTH,Bukuru Express Primary Health Center,wyclwPixYHK
PLATEAU,JOS SOUTH,Church of Christ in Nigeria (COCIN) Clinic-Gyel-Bukuru,kXMpdZaDwxW
PLATEAU,JOS SOUTH,Dadin Kowa Comprehensive Health Center,KliDyHkXDRm
PLATEAU,JOS SOUTH,Evangelical Church of West Africa (ECWA) Comprehensive Hospital-Bukuru,n3n9tC9qDI4
PLATEAU,JOS SOUTH,Our Lady of Apostles Hospital & Orphanage Zawan,a0wh6o0Urau
PLATEAU,JOS SOUTH,Vom Christian Hospital,fEPSauwf6T7
PLATEAU,KANAM,Dengi General Hospital,wZ4FJfYUSXp
PLATEAU,KANKE,Amper Central Primary Health Care Center,XoodAFXuLoR
PLATEAU,LANGTANG NORTH,Langtang General Hospital,SwpC6SazKp4
PLATEAU,LANGTANG NORTH,Zamko Comprehensive Health Center,c1sMFxI54cS
PLATEAU,MANGU,CCDP Hospital-Panyam,n7H11XCfDQT
PLATEAU,MANGU,Church Of Christ In Nigeria (COCIN) Hospital And Rehabilitation Center,Ylm55YT8Uc6
PLATEAU,MANGU,Kombum Primary Health Center,hAADI04UQVd
PLATEAU,MANGU,Mangu General Hospital,eAM9CE6xQD6
PLATEAU,MIKANG,Tunkus General Hospital,LAzfkJ5YZG1
PLATEAU,PANKSHIN,Pankshin General Hospital,a9QRiuuNaRv
PLATEAU,Qua'an Pan,Kwalla General Hospital,Axs1Yufa0Pp
PLATEAU,Qua'an Pan,Lardang Comprehensive Health Center,ryJ1gnzT3yb
PLATEAU,Qua'an Pan,St. Virgillus Catholic Rural Health Center,BQ6ZqTIJDra
PLATEAU,SHENDAM,May Hospital-Shendam,TGsy8pKsBgj
PLATEAU,SHENDAM,Shendam A Primary Health Center,RqrbqtO8Pas
PLATEAU,SHENDAM,Shendam General Hospital,kvwUsWWt1z5
